#metadataBlock	name	dataverseAlias	displayName	blockURI												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	topicTaxon	DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES)	Demography	103												
	topicTaxon	Censuses	Censuses	104												
	topicTaxon	Migration	Demography.Migration	105												
	topicTaxon	Morbidity and mortality	Demography.MorbidityAndMortality	106												
	topicTaxon	ECONOMICS	Economics	107												
	topicTaxon	Consumption and consumer behaviour	Economics.ConsumptionAndConsumerBehaviour	108												
	topicTaxon	Economic conditions and indicators	Economics.EconomicConditionsAndIndicators	109												
	topicTaxon	Economic policy, public expenditure and revenue	Economic.Policy.Public.ExpenditureAndRevenue	110												
	topicTaxon	Economic systems and development	Economics.EconomicSystemsAndDevelopment	111												
	topicTaxon	Income, property and investment/saving	Income.PropertyAndInvestmentOrSaving	112												
	topicTaxon	EDUCATION	Education	113												
	topicTaxon	Compulsory and pre-school education	Education.CompulsoryAndPreschoolEducation	114												
	topicTaxon	Educational policy	Education.EducationalPolicy	115												
	topicTaxon	Higher and further education	Education.HigherAndFurtherEducation	116												
	topicTaxon	Life-long/continuing education	Education.LifelongContinuingEducation	117												
	topicTaxon	Vocational education and training	Education.VocationalEducationAndTraining	118												
	topicTaxon	HEALTH	Health	119												
	topicTaxon	Diet and nutrition	Health.DietAndNutrition	120												
	topicTaxon	General health and well-being	Health.GeneralHealthAndWellbeing	121												
	topicTaxon	Health care services and policies	Health.HealthCareServicesAndPolicies	122												
	topicTaxon	Medication and treatment	Health.MedicationAndTreatment	123												
	topicTaxon	Occupational health	Health.OccupationalHealth	124												
	topicTaxon	Physical fitness and exercise	Health.PhysicalFitnessAndExercise	125												
	topicTaxon	Public health	Health.PublicHealth	126												
	topicTaxon	Reproductive health	Health.ReproductiveHealth	127												
	topicTaxon	Signs and symptoms; pathological conditions	Health.SignsAndSymptomsPathologicalConditions	128												
	topicTaxon	Specific diseases, disorders and medical conditions	Health.SpecificDiseasesDisordersAndMedicalConditions	129												
	topicTaxon	Wounds and injuries	Health.WoundsAndInjuries	130												
	topicTaxon	HISTORY	History	131												
	topicTaxon	HOUSING AND LAND USE	HousingAndLandUse	132												
	topicTaxon	Housing	HousingAndLandUse.Housing	133												
	topicTaxon	Land use and planning	HousingAndLandUse.LandUseAndPlanning	134												
	topicTaxon	LABOUR AND EMPLOYMENT	LabourAndEmployment	135												
	topicTaxon	Employee training	LabourAndEmployment.EmployeeTraining	136												
	topicTaxon	Employment	LabourAndEmployment.Employment	137												
	topicTaxon	Labour and employment policy	LabourAndEmployment.LabourAndEmploymentPolicy	138												
	topicTaxon	Labour relations/conflict	LabourAndEmployment.LabourRelationsConflict	139												
	topicTaxon	Retirement	LabourAndEmployment.Retirement	140												
	topicTaxon	Unemployment	LabourAndEmployment.Unemployment	141												
	topicTaxon	Working conditions	LabourAndEmployment.WorkingConditions	142												
	topicTaxon	LAW, CRIME AND LEGAL SYSTEMS	LawCrimeAndLegalSystems	143												
	topicTaxon	Crime and law enforcement	LawCrimeAndLegalSystems.CrimeAndLawEnforcement	144												
	topicTaxon	Legislation and legal systems	LawCrimeAndLegalSystems.LegislationAndLegalSystems	145												
	topicTaxon	MEDIA, COMMUNICATION AND LANGUAGE	MediaCommunicationAndLanguage	146												
	topicTaxon	Information society	MediaCommunicationAndLanguage.InformationSociety	147												
	topicTaxon	Language and linguistics	MediaCommunicationAndLanguage.LanguageAndLinguistics	148												
	topicTaxon	Media	MediaCommunicationAndLanguage.Media	149												
	topicTaxon	Public relations	MediaCommunicationAndLanguage.PublicRelations	150												
	topicTaxon	NATURAL ENVIRONMENT	NaturalEnvironment	151												
	topicTaxon	Energy and natural resources	NaturalEnvironment.EnergyAndNaturalResources	152												
	topicTaxon	Environment and conservation	NaturalEnvironment.EnvironmentAndConservation	153												
	topicTaxon	Natural landscapes	NaturalEnvironment.NaturalLandscapes	154												
	topicTaxon	Plants and animals	NaturalEnvironment.PlantsAndAnimals	155												
	topicTaxon	POLITICS	Politics	156												
	topicTaxon	Conflict, security and peace	Politics.ConflictSecurityAndPeace	157												
	topicTaxon	Elections	Politics.Elections	158												
	topicTaxon	International politics and organisations	Politics.InternationalPoliticsAndOrganisations	159												
	topicTaxon	Political behaviour and attitudes	Politics.PoliticalBehaviourAndAttitudes	160												
	topicTaxon	Political ideology	Politics.PoliticalIdeology	161												
	topicTaxon	PSYCHOLOGY	Psychology	162												
	topicTaxon	SCIENCE AND TECHNOLOGY	ScienceAndTechnology	163												
	topicTaxon	Biotechnology	ScienceAndTechnology.Biotechnology	164												
	topicTaxon	Information technology	ScienceAndTechnology.InformationTechnology	165												
	topicTaxon	SOCIAL STRATIFICATION AND GROUPINGS	SocialStratificationAndGroupings	166												
	topicTaxon	Children	SocialStratificationAndGroupings.Children	167												
	topicTaxon	Elderly	SocialStratificationAndGroupings.Elderly	168												
	topicTaxon	Elites and leadership	SocialStratificationAndGroupings.ElitesAndLeadership	169												
